hdi_rank,Country,educ_index_2000,educ_index_2013,Country Code 2000,pov_2000,pov_2013,GDP_Country_Name,Country_Code2,gdp_2000,gdp_2013,Country_Name2,Region_2013,povhc_pct_y2,numpoor_y2,pop_y2,survey_coverage_y2,Region_2000,povhc_pct_y1,numpoor_y1,pop_y1,survey_coverage_y1,name,Country Name,Country Code,elec2000,elec2013
55,Libya,62.48,69.79,LBY,,,Libya,LBY,38270,65503,Libya,Middle East and North Africa,40.58,144.1,355.06,91.64,Middle East and North Africa,53.28,150.01,281.55,69.69,Libya,Libya,LBY,,76.49629974
56,Oman,0,60.33,OMN,,,Oman,OMN,19507,78556,Oman,Middle East and North Africa,40.58,144.1,355.06,91.64,Middle East and North Africa,53.28,150.01,281.55,69.69,Oman,Oman,OMN,100,100
60,Palau,76,78.68,PLW,,,Palau,PLW,146,221,Palau,East Asia and Pacific,41.96,842.94,2009,97.61,East Asia and Pacific,84.68,1538.25,1816.54,95.12,Palau,Palau,PLW,,98.91943359
62,Malaysia,60.24,67.05,MYS,,4,Malaysia,MYS,93790,323000,Malaysia,East Asia and Pacific,41.96,842.94,2009,97.61,East Asia and Pacific,84.68,1538.25,1816.54,95.12,Malaysia,Malaysia,MYS,,99.92743683
63,Mauritius,57.41,71.81,MUS,,,Mauritius,MUS,4663,12130,Mauritius,Sub-Saharan Africa,86.81,818.69,943.04,73.34,Sub-Saharan Africa,91.03,605.63,665.33,60.66,Mauritius,Mauritius,MUS,99,97.34088898
65,Lebanon,0,63.06,LBN,,,Lebanon,LBN,17260,46909,Lebanon,Middle East and North Africa,40.58,144.1,355.06,91.64,Middle East and North Africa,53.28,150.01,281.55,69.69,Lebanon,Lebanon,LBN,,100
71,Seychelles,66.65,63.59,SYC,,7,Seychelles,SYC,615,1328,Seychelles,Sub-Saharan Africa,86.81,818.69,943.04,73.34,Sub-Saharan Africa,91.03,605.63,665.33,60.66,Seychelles,Seychelles,SYC,94.03678894,98
73,Sri Lanka,67.89,73.78,LKA,,,Sri Lanka,LKA,16331,74318,Sri Lanka,South Asia,84.69,1444.64,1705.77,98.11,South Asia,,,,20.82,Sri Lanka,Sri Lanka,LKA,,90.2
77,Jordan,67.08,69.97,JOR,,,Jordan,JOR,8460,34454,Jordan,Middle East and North Africa,40.58,144.1,355.06,91.64,Middle East and North Africa,53.28,150.01,281.55,69.69,Jordan,Jordan,JOR,98.68096161,99.3657608
88,Fiji,67.08,76.65,FJI,,35.8,Fiji,FJI,1684,4190,Fiji,East Asia and Pacific,41.96,842.94,2009,97.61,East Asia and Pacific,84.68,1538.25,1816.54,95.12,Fiji,Fiji,FJI,75.76808929,91.75
89,Thailand,51.58,60.8,THA,48.6,11.3,Thailand,THA,126000,420000,Thailand,East Asia and Pacific,41.96,842.94,2009,97.61,East Asia and Pacific,84.68,1538.25,1816.54,95.12,Thailand,Thailand,THA,82.1,99.4548645
90,Tunisia,52.52,62.15,TUN,50.6,,Tunisia,TUN,21473,46251,Tunisia,Middle East and North Africa,40.58,144.1,355.06,91.64,Middle East and North Africa,53.28,150.01,281.55,69.69,Tunisia,Tunisia,TUN,94.8,99.7
91,China,47.76,60.97,CHN,,36.4,China,CHN,1210000,9570000,China,East Asia and Pacific,41.96,842.94,2009,97.61,East Asia and Pacific,84.68,1538.25,1816.54,95.12,China,China,CHN,96.90710449,100
93,Algeria,49.35,64.26,DZA,,,Algeria,DZA,54790,210000,Algeria,Middle East and North Africa,40.58,144.1,355.06,91.64,Middle East and North Africa,53.28,150.01,281.55,69.69,Algeria,Algeria,DZA,,99.53858185
100,Tonga,66.37,72.03,TON,27.8,,Tonga,TON,205,451,Tonga,East Asia and Pacific,41.96,842.94,2009,97.61,East Asia and Pacific,84.68,1538.25,1816.54,95.12,Tonga,Tonga,TON,85.45069885,94.44410706
103,Maldives,48.44,54.75,MDV,,,Maldives,MDV,624,3295,Maldives,South Asia,84.69,1444.64,1705.77,98.11,South Asia,,,,20.82,Maldives,Maldives,MDV,83.8,99.5677948
103,Mongolia,53.17,69.37,MNG,,,Mongolia,MNG,1137,12582,Mongolia,East Asia and Pacific,41.96,842.94,2009,97.61,East Asia and Pacific,84.68,1538.25,1816.54,95.12,Mongolia,Mongolia,MNG,67.3,81.2
106,Samoa,67.72,70.15,WSM,,33.9,Samoa,WSM,269,770,Samoa,East Asia and Pacific,41.96,842.94,2009,97.61,East Asia and Pacific,84.68,1538.25,1816.54,95.12,Samoa,Samoa,WSM,87.86341858,98.20394897
108,Indonesia,52.13,60.31,IDN,95.1,68.7,Indonesia,IDN,165000,913000,Indonesia,East Asia and Pacific,41.96,842.94,2009,97.61,East Asia and Pacific,84.68,1538.25,1816.54,95.12,Indonesia,Indonesia,IDN,86.3,96.46425831
109,Botswana,57.61,61.9,BWA,,,Botswana,BWA,5788,14902,Botswana,Sub-Saharan Africa,86.81,818.69,943.04,73.34,Sub-Saharan Africa,91.03,605.63,665.33,60.66,Botswana,Botswana,BWA,27.27746582,53.69979477
